一丁点儿 (yi1,ding1,dian3,er5)
一不小心 (yi2,bu4,xiao3,xin1)
一丘之貉 (yi1,qiu1,zhi1,he2)
一丝不差 (yi4,si1,bu4,cha1)
一丝不苟 (yi4,si1,bu4,gou3)
一个 (yi2,ge4)
一个半个 (yi1,ge4,ban4,ge4)
一个巴掌拍不响 (yi1,ge4,ba1,zhang3,pai1,bu4,xiang3)
一个萝卜一个坑 (yi1,ge4,luo2,bo5,yi1,ge4,keng1)
一举两得 (yi4,ju3,liang3,de2)
一之为甚 (yi1,zhi1,wei2,shen4)
一了 (yi1,liao3)
一了百了 (yi1,liao3,bai3,liao3)
一了百当 (yi1,liao3,bai3,dang4)
一事无成 (yi2,shi4,wu2,cheng2)
一五一十 (yi4,wu3,yi4,shi2)
一些 (yi4,xie1)
一些半些 (yi1,xie1,ban4,xie1)
一人做事一人当 (yi4,ren2,zuo4,shi4,yi4,ren2,dang1)
一仆二主 (yi1,pu2,er4,zhu3)
一代 (yi2,dai4)
一代不如一代 (yi1,dai4,bu4,ru2,yi1,dai4)
一代楷模 (yi1,dai4,kai3,mo2)
一代风流 (yi1,dai4,feng1,liu2)
一令纸 (yi1,ling3,zhi3)
一会 (yi2,hui4)
一会儿 (yi1,hui4,er5)
一体两面 (yi4,ti3,liang3,mian4)
一倍 (yi2,bei4)
一倡百和 (yi1,chang4,bai3,he4)
一共 (yi2,gong4)
一出戏 (yi4,chu1,xi4)
一刀两断 (yi4,dao1,liang3,duan4)
一分为二 (yi1,fen1,wei2,er4)
一分子 (yi1,fen4,zi5)
一分钟 (yi4,fen1,zhong1)
一切 (yi1,qie4)
一切万物 (yi1,qie1,wan4,wu4)
一动不动 (yi2,dong4,bu2,dong4)
一劳永逸 (yi4,lao2,yong3,yi4)
一匹 (yi4,pi3)
一匹马 (yi4,pi3,ma3)
一半 (yi2,ban4)
一卷 (yi1,juan4)
一厢情愿 (yi4,xiang1,qing2,yuan4)
一去不复返 (yi2,qu4,bu2,fu4,fan3)
一发 (yi1,fa4)
一发千钧 (yi1,fa4,qian1,jun1)
一口咬定 (yi4,kou3,yao3,ding4)
一口气 (yi4,kou3,qi4)
一只 (yi1,zhi1)
一叶扁舟 (yi2,ye4,pian1,zhou1)
一吐为快 (yi1,tu3,wei2,kuai4)
一向 (yi2,xiang4)
一呼百应 (yi1,hu1,bai3,ying4)
一命呜呼 (yi2,ming4,wu1,hu1)
一哄而上 (yi4,hong1,er2,shang4)
一哄而散 (yi2,hong4,er2,san4)
一哄而起 (yi1,hong4,er2,qi3)
一哭二闹 (yi4,ku1,er4,nao4)
